,id,host_acceptance_rate,host_is_superhost,neighbourhood,latitude,longitude,room_type,accommodates,bedrooms,beds,amenities,price_in_dollar,minimum_nights,maximum_nights,has_availability,availability_30,number_of_reviews_l30d,review_scores_rating,instant_bookable,price_in_euros,price_per_person,minimum_price,discount_per_5_days_booked,discount_per_10_days_booked,discount_per_30_and_more_days_booked,service_cost,neighborhood,available,five_day_dollar_price
0,23726706,0.95,False,IJburg - Zeeburgereiland,52.34916,4.97879,Private room,2,1.0,1.0,6,$88.00,2,14,True,0,3,4.99,True,,44.0,176.0,0.05,0.11,0.16,4.99,IJburg - Zeeburgereiland,,
1,35815036,1.0,True,Noord-Oost,52.42419,4.95689,Entire home/apt,2,1.0,1.0,5,$105.00,3,100,True,4,6,4.96,False,,52.5,315.0,0.05,0.12,0.16,4.99,Noord-Oost,0.6657534246575343,
2,31553121,1.0,False,Noord-West,52.43237,4.91821,Entire home/apt,4,2.0,3.0,3,$152.00,2,60,True,0,1,4.74,False,,38.0,304.0,0.07,0.11,0.22,4.99,Noord-West,,
3,34745823,0.94,False,Gaasperdam - Driemond,52.2962,5.01231,Entire home/apt,2,1.0,2.0,8,$87.00,2,1125,True,5,0,4.87,False,,43.5,174.0,0.06,0.1,0.15,4.99,Gaasperdam - Driemond,,
4,44586947,0.88,True,Gaasperdam - Driemond,52.31475,5.0303,Private room,4,1.0,3.0,4,$160.00,2,31,True,9,3,5.0,False,,40.0,320.0,0.09,0.22,0.2,4.99,Gaasperdam - Driemond,,
5,15801253,0.86,False,Watergraafsmeer,52.34507,4.96413,Private room,3,1.0,3.0,1,$90.00,2,1125,True,3,1,4.77,False,,30.0,180.0,0.06,0.14,0.16,4.99,Watergraafsmeer,,
6,19572024,1.0,False,Watergraafsmeer,52.30739,4.90833,Entire home/apt,6,3.0,6.0,14,$279.00,3,300,True,6,3,4.69,False,,46.5,837.0,0.09,0.16,0.14,4.99,Watergraafsmeer,0.8164383561643835,
7,18801518,0.62,False,Watergraafsmeer,52.33828,4.96443,Private room,4,1.0,3.0,10,$140.00,2,1125,True,0,0,4.66,False,,35.0,280.0,0.05,0.17,0.17,4.99,Watergraafsmeer,,
8,2973384,0.38,False,Watergraafsmeer,52.30989,4.90528,Entire home/apt,5,3.0,3.0,7,$185.00,6,21,True,0,0,4.83,False,,37.0,1110.0,0.06,0.12,0.18,4.99,Watergraafsmeer,0.03561643835616438,
9,34985473,1.0,True,Noord-Oost,52.42831,5.042191,Entire home/apt,5,3.0,4.0,4,$135.00,6,1125,True,7,0,4.43,False,,27.0,810.0,0.08,0.13,0.17,4.99,Noord-Oost,0.16164383561643836,
10,434841750,1.0,False,Bijlmer-Centrum,52.329773,4.937512,Private room,2,1.0,2.0,2,$120.00,1,365,True,17,3,4.33,True,,60.0,120.0,0.07,0.14,0.15,4.99,Bijlmer-Centrum,,
